category,verdict,style,rank,fund,qfra_score,merit_grade,sentinel,conviction,new_fund,loser_flags,cat_beatTRI_pct,hit_3y_pct,down_capture,AUM_Cr,asof
Multi Cap,ACTIVE,universal lean (momentum/quality),2,ICICI Pru Multicap Fund(G),80,A,clear,High,False,0,70,66,0.85,14152.0,2026-07-31
Multi Cap,ACTIVE,universal lean (momentum/quality),3,Quant Active Fund(G),60,B,flagged(1),Medium,False,1,70,72,1.04,,2026-07-31
Multi Cap,ACTIVE,universal lean (momentum/quality),4,Sundaram Multi Cap Fund(G),40,B,flagged(1),Medium,False,1,70,11,0.89,2759.0,2026-07-31
Multi Cap,ACTIVE,universal lean (momentum/quality),5,Nippon India Multi Cap Fund(G),20,D,flagged(2),Low/Index-lean,False,2,70,45,0.9,,2026-07-31
Small Cap,ACTIVE,universal lean (momentum/quality),1,Aditya Birla SL Small Cap Fund(G),100,A,clear,High,False,0,80,39,0.84,5181.0,2026-07-31
Small Cap,ACTIVE,universal lean (momentum/quality),2,Sundaram Small Cap Fund(G),83,A,clear,High,False,0,80,39,0.78,3450.0,2026-07-31
Small Cap,ACTIVE,universal lean (momentum/quality),3,Kotak Small Cap Fund(G),67,B,flagged(1),Medium,False,1,80,72,0.75,17593.0,2026-07-31
Small Cap,ACTIVE,universal lean (momentum/quality),4,Franklin India Smaller Cos Fund(G),50,B,flagged(1),Medium,False,1,80,75,0.81,13944.0,2026-07-31
Small Cap,ACTIVE,universal lean (momentum/quality),5,Nippon India Small Cap Fund(G),33,C,flagged(1),Low/Index-lean,False,1,80,98,0.82,,2026-07-31
Focused,ACTIVE,universal lean (momentum/quality),1,360 ONE Focused Fund,100,A,clear,High,False,0,70,85,0.95,,2026-05-27
Focused,ACTIVE,universal lean (momentum/quality),2,HSBC Focused Fund,97,A,clear,High,False,0,70,69,0.99,,2026-05-27
Focused,ACTIVE,universal lean (momentum/quality),3,Tata Focused Fund,93,B,clear,Medium,False,0,70,85,0.96,,2026-05-27
Focused,ACTIVE,universal lean (momentum/quality),4,Nippon India Focused Fund,88,B,clear,Medium,False,0,70,54,0.89,,2026-05-27
Focused,ACTIVE,universal lean (momentum/quality),5,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund),88,C,clear,Low/Index-lean,False,0,70,0,0.88,,2026-05-27
Value/Contra,ACTIVE,universal lean (momentum/quality),1,Sundaram Value Fund Series II,100,B,clear,Medium,False,0,66,74,0.89,,2026-05-27
Value/Contra,ACTIVE,universal lean (momentum/quality),2,Sundaram Value Fund Series VII,97,B,clear,Medium,False,0,66,10,1.01,,2026-05-27
Value/Contra,ACTIVE,universal lean (momentum/quality),3,L&T India Value Fund,94,B,clear,Medium,False,0,66,59,0.97,,2026-05-27
Value/Contra,ACTIVE,universal lean (momentum/quality),4,Sundaram Value Fund Series,90,B,clear,Medium,False,0,66,43,0.9,,2026-05-27
Value/Contra,ACTIVE,universal lean (momentum/quality),5,Sundaram Value Fund,87,C,clear,Low/Index-lean,False,0,66,24,0.89,,2026-05-27
